text,intent
Giup toi xem cach gui gop y o dau,feedback_help
Bạn giải thích giúp điểm rèn luyện tính như thế nào với,training_score
Ban giai thich giup diem ren luyen tinh nhu the nao voi,training_score
Địa điểm workshop ở đâu,map_help
Dia diem workshop o dau,map_help
Cho tôi hỏi tôi cần bấm nút nào để điểm danh trong hệ thống,check_in_guide
Cho toi hoi toi can bam nut nao de diem danh trong he thong,check_in_guide
Bạn giải thích giúp tôi đã ghi danh hoạt động gì nhé,my_activities
Ban giai thich giup toi da ghi danh hoat dong gi nhe,my_activities
Mình muốn biết tôi muốn hỏi thông tin hiện tại,greeting
Minh muon biet toi muon hoi thong tin hien tai,greeting
Cho mình hỏi hôm nay ăn gì được không ạ,unknown
Cho minh hoi hom nay an gi duoc khong a,unknown
Tui muốn hỏi làm sao quét mã điểm danh vậy,check_in_guide
Tui muon hoi lam sao quet ma diem danh vay,check_in_guide
Mình cần biết hoạt động tôi đã chọn nha,my_activities
Minh can biet hoat dong toi da chon nha,my_activities
Bạn cho tôi biết tôi bị từ chối điểm danh chưa nha,attendance_status
Ban cho toi biet toi bi tu choi diem danh chua nha,attendance_status
Tôi cần xem khi nào bị trừ điểm sự kiện được không ạ,absent_penalty
Toi can xem khi nao bi tru diem su kien duoc khong a,absent_penalty
Cho mình hỏi hi hiện tại,greeting
Cho minh hoi hi hien tai,greeting
Mình cần xem sắp tới có sự kiện gì được không,upcoming_activity
Minh can xem sap toi co su kien gi duoc khong,upcoming_activity
Bạn cho tôi biết cho tôi hỏi chút với,greeting
Ban cho toi biet cho toi hoi chut voi,greeting
Có thể cho tôi biết thông báo quan trọng nằm ở đâu cho tôi,notification_help
Co the cho toi biet thong bao quan trong nam o dau cho toi,notification_help
Làm ơn cho tôi biết hoạt động tôi đã chọn như thế nào,my_activities
Lam on cho toi biet hoat dong toi da chon nhu the nao,my_activities
Cho tôi hỏi bật tắt thông báo ở đâu với,notification_help
Cho toi hoi bat tat thong bao o dau voi,notification_help
Cho mình hỏi cách báo lỗi hệ thống như thế nào,feedback_help
Cho minh hoi cach bao loi he thong nhu the nao,feedback_help
Tôi muốn hỏi làm sao xem tin nhắn thông báo ở đâu,notification_help
Toi muon hoi lam sao xem tin nhan thong bao o dau,notification_help
Mình cần biết báo lỗi ứng dụng,feedback_help
Minh can biet bao loi ung dung,feedback_help
Cho tôi hỏi điểm sau khi bị từ chối minh chứng như thế nào,training_score
Cho toi hoi diem sau khi bi tu choi minh chung nhu the nao,training_score
Hỏi chút là minh chứng bị từ chối thì bị sao trên ITConnect,absent_penalty
Hoi chut la minh chung bi tu choi thi bi sao tren ITConnect,absent_penalty
Tôi được duyệt hoạt động nào,attendance_status
Toi duoc duyet hoat dong nao,attendance_status
Cho tôi xem làm sao kiếm tiền online nhé,unknown
Cho toi xem lam sao kiem tien online nhe,unknown
Cho tôi xem có ai hỗ trợ không được không,greeting
Cho toi xem co ai ho tro khong duoc khong,greeting
Bạn kiểm tra giúp hoạt động gần nhất là gì giúp tôi,upcoming_activity
Ban kiem tra giup hoat dong gan nhat la gi giup toi,upcoming_activity
Bạn giải thích giúp tôi phải check in như thế nào được không,check_in_guide
Ban giai thich giup toi phai check in nhu the nao duoc khong,check_in_guide
Tôi muốn hỏi xem hoạt động theo học kỳ của tôi được không,my_activities
Toi muon hoi xem hoat dong theo hoc ky cua toi duoc khong,my_activities
Làm sao để điểm danh,check_in_guide
Lam sao de diem danh,check_in_guide
Tôi cần xem báo lỗi minh chứng ở đâu ở đâu,feedback_help
Toi can xem bao loi minh chung o dau o dau,feedback_help
Cho mình hỏi minh chứng của tôi đã duyệt chưa được không,attendance_status
Cho minh hoi minh chung cua toi da duyet chua duoc khong,attendance_status
Tôi muốn hỏi về ứng dụng được không,greeting
Toi muon hoi ve ung dung duoc khong,greeting
Tui muốn hỏi chương trình nào gần nhất trong app,upcoming_activity
Tui muon hoi chuong trinh nao gan nhat trong app,upcoming_activity
Làm ơn cho tôi biết có seminar nào sắp tới không cho tôi,upcoming_activity
Lam on cho toi biet co seminar nao sap toi khong cho toi,upcoming_activity
Bạn kiểm tra giúp tôi muốn góp ý giao diện hiện tại,feedback_help
Ban kiem tra giup toi muon gop y giao dien hien tai,feedback_help
Giúp tôi xem điểm sau khi bị từ chối minh chứng hiện tại nha,training_score
Giup toi xem diem sau khi bi tu choi minh chung hien tai nha,training_score
Tôi bị mất điểm không,training_score
Toi bi mat diem khong,training_score
Có thể cho tôi biết thông báo của tôi ở đâu được không ạ ạ,notification_help
Co the cho toi biet thong bao cua toi o dau duoc khong a a,notification_help
Gửi ý kiến cho quản trị viên,feedback_help
Gui y kien cho quan tri vien,feedback_help
Hỏi chút là điểm danh thất bại có bị trừ điểm không trong app giúp mình,absent_penalty
Hoi chut la diem danh that bai co bi tru diem khong trong app giup minh,absent_penalty
Chào trợ lý ITConnect được không,greeting
Chao tro ly ITConnect duoc khong,greeting
Bạn kiểm tra giúp admin từ chối minh chứng thì mất điểm à trong hệ thống,absent_penalty
Ban kiem tra giup admin tu choi minh chung thi mat diem a trong he thong,absent_penalty
Làm ơn cho tôi biết bạn giúp tôi được không hiện tại với ạ,greeting
Lam on cho toi biet ban giup toi duoc khong hien tai voi a,greeting
Bạn kiểm tra giúp danh sách chương trình đang nhận đăng ký cho tôi,upcoming_activity
Ban kiem tra giup danh sach chuong trinh dang nhan dang ky cho toi,upcoming_activity
Bạn cho tôi biết hoạt động học thuật sắp tới trong hệ thống,upcoming_activity
Ban cho toi biet hoat dong hoc thuat sap toi trong he thong,upcoming_activity
Cho tôi xem hoạt động tôi đã chọn,my_activities
Cho toi xem hoat dong toi da chon,my_activities
Bản đồ ở đâu,map_help
Ban do o dau,map_help
Tôi muốn hỏi bản đồ có chỉ vị trí không cho tôi,map_help
Toi muon hoi ban do co chi vi tri khong cho toi,map_help
Xem minh chứng đã duyệt ở đâu,attendance_status
Xem minh chung da duyet o dau,attendance_status
Mình muốn biết nhắc nhở hoạt động ở đâu,notification_help
Minh muon biet nhac nho hoat dong o dau,notification_help
Mình muốn hỏi chào bạn giúp tôi,greeting
Minh muon hoi chao ban giup toi,greeting
Bạn cho tôi biết danh sách hoạt động đang nhận đăng ký nha,upcoming_activity
Ban cho toi biet danh sach hoat dong dang nhan dang ky nha,upcoming_activity
Mình cần biết bạn có yêu tôi không được không nha,unknown
Minh can biet ban co yeu toi khong duoc khong nha,unknown
Mình cần biết tôi muốn hỏi thông tin trong app,greeting
Minh can biet toi muon hoi thong tin trong app,greeting
Tôi muốn hỏi điểm học kỳ này của tôi bao nhiêu như thế nào,training_score
Toi muon hoi diem hoc ky nay cua toi bao nhieu nhu the nao,training_score
Bạn kiểm tra giúp cách gửi nội dung phản ánh vậy,feedback_help
Ban kiem tra giup cach gui noi dung phan anh vay,feedback_help
Có thể cho tôi biết tổng điểm rèn luyện của tôi là mấy cho tôi,training_score
Co the cho toi biet tong diem ren luyen cua toi la may cho toi,training_score
Cho mình hỏi tôi đã gửi minh chứng chưa được không ạ,attendance_status
Cho minh hoi toi da gui minh chung chua duoc khong a,attendance_status
Hỏi chút là gửi ý kiến cho quản trị viên trong app,feedback_help
Hoi chut la gui y kien cho quan tri vien trong app,feedback_help
Cho tôi xem gửi ý kiến cho quản trị viên ở đâu,feedback_help
Cho toi xem gui y kien cho quan tri vien o dau,feedback_help
Điểm rèn luyện của tôi hiện đang là mấy,training_score
Diem ren luyen cua toi hien dang la may,training_score
Cho mình hỏi cách hoàn tất check in cho tôi,check_in_guide
Cho minh hoi cach hoan tat check in cho toi,check_in_guide
Làm sao quét mã điểm danh,check_in_guide
Lam sao quet ma diem danh,check_in_guide
Tư vấn mua xe máy,unknown
Tu van mua xe may,unknown
Chào trợ lý,greeting
Chao tro ly,greeting
Hỏi chút là cách quay video minh chứng cho tôi,check_in_guide
Hoi chut la cach quay video minh chung cho toi,check_in_guide
Có thể cho tôi biết tắt nhắc nhở sự kiện như thế nào trên ITConnect,notification_help
Co the cho toi biet tat nhac nho su kien nhu the nao tren ITConnect,notification_help
Tôi muốn hỏi tôi cần gửi hỗ trợ ở đâu,feedback_help
Toi muon hoi toi can gui ho tro o dau,feedback_help
Em cần xem danh sách hoạt động đang nhận đăng ký,upcoming_activity
Em can xem danh sach hoat dong dang nhan dang ky,upcoming_activity
Cho tôi xem gửi phản hồi về hoạt động nhé,feedback_help
Cho toi xem gui phan hoi ve hoat dong nhe,feedback_help
Làm ơn cho tôi biết chụp ảnh đẹp như thế nào vậy,unknown
Lam on cho toi biet chup anh dep nhu the nao vay,unknown
Điểm rèn luyện của học kỳ hiện tại,training_score
Diem ren luyen cua hoc ky hien tai,training_score
Hỏi chút là quét QR để điểm danh như thế nào hiện tại,check_in_guide
Hoi chut la quet QR de diem danh nhu the nao hien tai,check_in_guide
Bạn cho tôi biết cho tôi xem hoạt động của tôi với,my_activities
Ban cho toi biet cho toi xem hoat dong cua toi voi,my_activities
Hỏi chút là địa điểm workshop ở đâu vậy,map_help
Hoi chut la dia diem workshop o dau vay,map_help
Giúp tôi xem mục điểm danh nằm ở đâu giúp tôi,check_in_guide
Giup toi xem muc diem danh nam o dau giup toi,check_in_guide
Có thể cho tôi biết hoạt động cá nhân của tôi như thế nào,my_activities
Co the cho toi biet hoat dong ca nhan cua toi nhu the nao,my_activities
Cho tôi xem tôi cần hỗ trợ tài khoản hiện tại,feedback_help
Cho toi xem toi can ho tro tai khoan hien tai,feedback_help
Cho tôi xem cho tôi hỏi chút như thế nào,greeting
Cho toi xem cho toi hoi chut nhu the nao,greeting
Tôi muốn hỏi tôi muốn xem tin quan trọng,notification_help
Toi muon hoi toi muon xem tin quan trong,notification_help
Cách gửi góp ý cho tôi,feedback_help
Cach gui gop y cho toi,feedback_help
Mình muốn biết các chương trình trong tài khoản của tôi giúp tôi ạ,my_activities
Minh muon biet cac chuong trinh trong tai khoan cua toi giup toi a,my_activities
Mình muốn biết minh chứng bị từ chối thì bị sao được không bạn,absent_penalty
Minh muon biet minh chung bi tu choi thi bi sao duoc khong ban,absent_penalty
Mình cần biết bạn có thể làm thơ không trên ITConnect,unknown
Minh can biet ban co the lam tho khong tren ITConnect,unknown
Cho tôi hỏi hoạt động học thuật sắp tới giúp tôi,upcoming_activity
Cho toi hoi hoat dong hoc thuat sap toi giup toi,upcoming_activity
Có thể cho tôi biết những hoạt động còn mở đăng ký như thế nào,upcoming_activity
Co the cho toi biet nhung hoat dong con mo dang ky nhu the nao,upcoming_activity
Bạn kiểm tra giúp tôi có thể chọn mã QR từ thư viện không trong app,check_in_guide
Ban kiem tra giup toi co the chon ma QR tu thu vien khong trong app,check_in_guide
Mình muốn biết mục thông báo trên trang chủ ở đâu được không,notification_help
Minh muon biet muc thong bao tren trang chu o dau duoc khong,notification_help
Hỏi chút là bản đồ có chỉ vị trí không trong hệ thống,map_help
Hoi chut la ban do co chi vi tri khong trong he thong,map_help
Làm ơn cho tôi biết điểm rèn luyện bị trừ khi nào ở đâu,absent_penalty
Lam on cho toi biet diem ren luyen bi tru khi nao o dau,absent_penalty
Bạn kiểm tra giúp sau khi quét QR cần làm gì cho tôi bạn,check_in_guide
Ban kiem tra giup sau khi quet QR can lam gi cho toi ban,check_in_guide
Cách quét mã QR điểm danh vậy,check_in_guide
Cach quet ma QR diem danh vay,check_in_guide
Cho mình hỏi tôi bị từ chối điểm danh chưa nha,attendance_status
Cho minh hoi toi bi tu choi diem danh chua nha,attendance_status
Cho tôi hỏi điểm danh đã được chốt chưa trong app,attendance_status
Cho toi hoi diem danh da duoc chot chua trong app,attendance_status
Cho mình hỏi tại sao có chấm đỏ thông báo trên ITConnect,notification_help
Cho minh hoi tai sao co cham do thong bao tren ITConnect,notification_help
Cho mình hỏi vắng có bị ghi nhận trong hệ thống không trong app,absent_penalty
Cho minh hoi vang co bi ghi nhan trong he thong khong trong app,absent_penalty
Làm sao kiếm tiền online,unknown
Lam sao kiem tien online,unknown
Bạn kiểm tra giúp tôi không biết cách điểm danh trên ITConnect nha,check_in_guide
Ban kiem tra giup toi khong biet cach diem danh tren ITConnect nha,check_in_guide
Mình cần biết thông báo quan trọng nằm ở đâu nhé,notification_help
Minh can biet thong bao quan trong nam o dau nhe,notification_help
Có workshop nào sắp diễn ra không,upcoming_activity
Co workshop nao sap dien ra khong,upcoming_activity
Giúp tôi xem tôi muốn xem chương trình mới nhất giúp tôi,upcoming_activity
Giup toi xem toi muon xem chuong trinh moi nhat giup toi,upcoming_activity
Mình cần biết có bản đồ khuôn viên không được không,map_help
Minh can biet co ban do khuon vien khong duoc khong,map_help
Cho tôi xem tôi có hoạt động nào sắp diễn ra không nha,upcoming_activity
Cho toi xem toi co hoat dong nao sap dien ra khong nha,upcoming_activity
Có thể cho tôi biết tôi cần gửi hỗ trợ được không ạ,feedback_help
Co the cho toi biet toi can gui ho tro duoc khong a,feedback_help
Có hoạt động trong tuần sau không ở đâu,upcoming_activity
Co hoat dong trong tuan sau khong o dau,upcoming_activity
Mình muốn biết bạn có thể làm toán không trên ITConnect,unknown
Minh muon biet ban co the lam toan khong tren ITConnect,unknown
Tôi cần xem làm sao đến sân trường,map_help
Toi can xem lam sao den san truong,map_help
Tôi muốn hỏi sau khi quét QR cần làm gì,check_in_guide
Toi muon hoi sau khi quet QR can lam gi,check_in_guide
Bạn kiểm tra giúp cách báo lỗi hệ thống trên ITConnect nhé,feedback_help
Ban kiem tra giup cach bao loi he thong tren ITConnect nhe,feedback_help
Bạn giải thích giúp tôi muốn tìm hội trường C trong app,map_help
Ban giai thich giup toi muon tim hoi truong C trong app,map_help
Có thể phản ánh thông tin sai không,feedback_help
Co the phan anh thong tin sai khong,feedback_help
Cho tôi hỏi tôi đã ghi danh hoạt động gì cho tôi,my_activities
Cho toi hoi toi da ghi danh hoat dong gi cho toi,my_activities
Tôi muốn hỏi kiểm tra lịch tham gia của tôi giúp tôi,my_activities
Toi muon hoi kiem tra lich tham gia cua toi giup toi,my_activities
Cho tôi hỏi tôi cần hỏi nhanh được không ạ,greeting
Cho toi hoi toi can hoi nhanh duoc khong a,greeting
Mình cần biết tôi đang chờ duyệt phải không được không bạn,attendance_status
Minh can biet toi dang cho duyet phai khong duoc khong ban,attendance_status
Bị vắng có được cộng điểm không,absent_penalty
Bi vang co duoc cong diem khong,absent_penalty
Cho mình hỏi không tham gia sau khi đăng ký thì sao vậy,absent_penalty
Cho minh hoi khong tham gia sau khi dang ky thi sao vay,absent_penalty
Tôi đang chờ duyệt phải không,attendance_status
Toi dang cho duyet phai khong,attendance_status
Cho tôi hỏi chào chatbot như thế nào,greeting
Cho toi hoi chao chatbot nhu the nao,greeting
Làm ơn cho tôi biết kiểm tra điểm rèn luyện giúp tôi được không,training_score
Lam on cho toi biet kiem tra diem ren luyen giup toi duoc khong,training_score
Cho mình hỏi bạn hỗ trợ sinh viên đúng không trong hệ thống,greeting
Cho minh hoi ban ho tro sinh vien dung khong trong he thong,greeting
Có thể cho tôi biết xem điểm hoạt động của tôi trong hệ thống,training_score
Co the cho toi biet xem diem hoat dong cua toi trong he thong,training_score
Cho tôi xem tôi đã hoàn thành điểm danh chưa được không,attendance_status
Cho toi xem toi da hoan thanh diem danh chua duoc khong,attendance_status
Hệ thống có nhắc điểm danh không như thế nào,notification_help
He thong co nhac diem danh khong nhu the nao,notification_help
Bạn cho tôi biết từ chối điểm danh có trừ điểm không nha,absent_penalty
Ban cho toi biet tu choi diem danh co tru diem khong nha,absent_penalty
Mình muốn hỏi cách quét mã QR điểm danh trong app,check_in_guide
Minh muon hoi cach quet ma QR diem danh trong app,check_in_guide
Hỏi chút là tìm vị trí phòng tổ chức hiện tại,map_help
Hoi chut la tim vi tri phong to chuc hien tai,map_help
Cho tôi xem sự kiện nào đang mở với,upcoming_activity
Cho toi xem su kien nao dang mo voi,upcoming_activity
Kiểm tra hoạt động đã đăng ký,my_activities
Kiem tra hoat dong da dang ky,my_activities
Cho mình hỏi hướng dẫn check in hoạt động được không,check_in_guide
Cho minh hoi huong dan check in hoat dong duoc khong,check_in_guide
Điểm của tôi sau khi hoàn thành hoạt động ở đâu,training_score
Diem cua toi sau khi hoan thanh hoat dong o dau,training_score
Bạn cho tôi biết game nào hay được không bạn,unknown
Ban cho toi biet game nao hay duoc khong ban,unknown
Bạn giải thích giúp vắng hoạt động đã đăng ký có sao không được không bạn giúp tôi,absent_penalty
Ban giai thich giup vang hoat dong da dang ky co sao khong duoc khong ban giup toi,absent_penalty
Hỏi chút là mục góp ý nằm ở đâu nha,feedback_help
Hoi chut la muc gop y nam o dau nha,feedback_help
Thông báo của tôi ở đâu,notification_help
Thong bao cua toi o dau,notification_help
Bạn cho tôi biết thông báo quan trọng nằm ở đâu cho tôi,notification_help
Ban cho toi biet thong bao quan trong nam o dau cho toi,notification_help
Làm ơn cho tôi biết kiểm tra trạng thái điểm danh với,attendance_status
Lam on cho toi biet kiem tra trang thai diem danh voi,attendance_status
Có thể cho tôi biết bản đồ campus mở ở đâu được không ạ,map_help
Co the cho toi biet ban do campus mo o dau duoc khong a,map_help
Làm ơn cho tôi biết tôi đã gửi minh chứng chưa giúp tôi với ạ,attendance_status
Lam on cho toi biet toi da gui minh chung chua giup toi voi a,attendance_status
Hoạt động nào gần nhất trong app,upcoming_activity
Hoat dong nao gan nhat trong app,upcoming_activity
Tôi muốn góp ý,feedback_help
Toi muon gop y,feedback_help
Cho mình hỏi tôi không thấy thông báo cho tôi,notification_help
Cho minh hoi toi khong thay thong bao cho toi,notification_help
Tôi muốn hỏi từ chối điểm danh có trừ điểm không trong app,absent_penalty
Toi muon hoi tu choi diem danh co tru diem khong trong app,absent_penalty
Bạn kiểm tra giúp tôi cần hỗ trợ được không bạn,greeting
Ban kiem tra giup toi can ho tro duoc khong ban,greeting
Bạn cho tôi biết quét QR để điểm danh như thế nào ở đâu,check_in_guide
Ban cho toi biet quet QR de diem danh nhu the nao o dau,check_in_guide
Có thể cho tôi biết tôi đã tham gia những hoạt động gì ở đâu,my_activities
Co the cho toi biet toi da tham gia nhung hoat dong gi o dau,my_activities
Tôi muốn hỏi game nào hay nhé,unknown
Toi muon hoi game nao hay nhe,unknown
Bạn kiểm tra giúp tôi muốn hỏi về ứng dụng ở đâu,greeting
Ban kiem tra giup toi muon hoi ve ung dung o dau,greeting
Hỏi chút là hello nha,greeting
Hoi chut la hello nha,greeting
Tư vấn mua điện thoại,unknown
Tu van mua dien thoai,unknown
Cho mình hỏi sắp tới trường có chương trình gì được không,upcoming_activity
Cho minh hoi sap toi truong co chuong trinh gi duoc khong,upcoming_activity
Bạn giải thích giúp bạn có biết bóng đá không vậy,unknown
Ban giai thich giup ban co biet bong da khong vay,unknown
Mình cần biết hoạt động tôi đã ghi danh được không,my_activities
Minh can biet hoat dong toi da ghi danh duoc khong,my_activities
Mình cần biết xem hoạt động theo học kỳ của tôi được không ạ,my_activities
Minh can biet xem hoat dong theo hoc ky cua toi duoc khong a,my_activities
Có thể cho tôi biết cài đặt thông báo như thế nào ở đâu,notification_help
Co the cho toi biet cai dat thong bao nhu the nao o dau,notification_help
Hỏi chút là làm sao xem vị trí hội trường nhé,map_help
Hoi chut la lam sao xem vi tri hoi truong nhe,map_help
Cho mình hỏi bạn có ở đó không được không ạ,greeting
Cho minh hoi ban co o do khong duoc khong a,greeting
Cho tôi hỏi xếp loại rèn luyện của tôi là gì vậy,training_score
Cho toi hoi xep loai ren luyen cua toi la gi vay,training_score
Làm ơn cho tôi biết điểm rèn luyện của tôi hiện đang là mấy được không ạ,training_score
Lam on cho toi biet diem ren luyen cua toi hien dang la may duoc khong a,training_score
Cho mình hỏi danh sách sự kiện sắp diễn ra nha,upcoming_activity
Cho minh hoi danh sach su kien sap dien ra nha,upcoming_activity
Làm ơn cho tôi biết minh chứng đã được chấp nhận chưa trong app,attendance_status
Lam on cho toi biet minh chung da duoc chap nhan chua trong app,attendance_status
Giúp tôi xem tôi được cộng bao nhiêu điểm trên ITConnect,training_score
Giup toi xem toi duoc cong bao nhieu diem tren ITConnect,training_score
Cho mình hỏi có workshop nào sắp diễn ra không,upcoming_activity
Cho minh hoi co workshop nao sap dien ra khong,upcoming_activity
Tôi muốn hỏi có hoạt động nào sắp tới không nhé,upcoming_activity
Toi muon hoi co hoat dong nao sap toi khong nhe,upcoming_activity
Mình cần biết sắp tới có sự kiện gì vậy,upcoming_activity
Minh can biet sap toi co su kien gi vay,upcoming_activity
Cho tôi xem tôi muốn gửi phản hồi nhanh giúp tôi bạn,feedback_help
Cho toi xem toi muon gui phan hoi nhanh giup toi ban,feedback_help
Tôi điểm danh bằng cách nào,check_in_guide
Toi diem danh bang cach nao,check_in_guide
Cho mình hỏi trạng thái chờ duyệt của tôi ở đâu,attendance_status
Cho minh hoi trang thai cho duyet cua toi o dau,attendance_status
Tôi muốn hỏi tôi điểm danh bằng cách nào hiện tại,check_in_guide
Toi muon hoi toi diem danh bang cach nao hien tai,check_in_guide
Bạn cho tôi biết tôi còn bao nhiêu điểm sau khi vắng được không ạ,training_score
Ban cho toi biet toi con bao nhieu diem sau khi vang duoc khong a,training_score
Mình muốn biết tìm vị trí phòng tổ chức trong app,map_help
Minh muon biet tim vi tri phong to chuc trong app,map_help
Mình cần biết tôi muốn chơi game vậy,unknown
Minh can biet toi muon choi game vay,unknown
Tôi cần xem điểm rèn luyện của học kỳ hiện tại với,training_score
Toi can xem diem ren luyen cua hoc ky hien tai voi,training_score
Cho tôi xem tôi không biết cách quét QR nha,check_in_guide
Cho toi xem toi khong biet cach quet QR nha,check_in_guide
Giúp tôi xem bị từ chối check in thì sao trên ITConnect,absent_penalty
Giup toi xem bi tu choi check in thi sao tren ITConnect,absent_penalty
Cho tôi xem chào hệ thống hiện tại,greeting
Cho toi xem chao he thong hien tai,greeting
Tôi muốn hỏi cách quét mã QR điểm danh giúp tôi,check_in_guide
Toi muon hoi cach quet ma QR diem danh giup toi,check_in_guide
Mình muốn biết cách quay video minh chứng ở đâu,check_in_guide
Minh muon biet cach quay video minh chung o dau,check_in_guide
Bạn kiểm tra giúp tôi bị từ chối điểm danh chưa cho tôi,attendance_status
Ban kiem tra giup toi bi tu choi diem danh chua cho toi,attendance_status
Bạn kiểm tra giúp chatbot ơi giúp tôi,greeting
Ban kiem tra giup chatbot oi giup toi,greeting
Bạn cho tôi biết sắp tới trường có chương trình gì nha,upcoming_activity
Ban cho toi biet sap toi truong co chuong trinh gi nha,upcoming_activity
Bạn giải thích giúp tôi muốn chơi game với,unknown
Ban giai thich giup toi muon choi game voi,unknown
Mình muốn biết tôi đã được duyệt check in chưa hiện tại,attendance_status
Minh muon biet toi da duoc duyet check in chua hien tai,attendance_status
Hỏi chút là bản đồ trường mở thế nào ở đâu,map_help
Hoi chut la ban do truong mo the nao o dau,map_help
Em muốn hỏi tôi muốn báo lỗi thông báo trong app,feedback_help
Em muon hoi toi muon bao loi thong bao trong app,feedback_help
Bạn kiểm tra giúp tôi phải chụp minh chứng như thế nào hiện tại,check_in_guide
Ban kiem tra giup toi phai chup minh chung nhu the nao hien tai,check_in_guide
Làm ơn cho tôi biết làm sao xem vị trí hội trường,map_help
Lam on cho toi biet lam sao xem vi tri hoi truong,map_help
Mình cần biết hoạt động tôi đã chọn vậy,my_activities
Minh can biet hoat dong toi da chon vay,my_activities
Hỏi chút là tôi được cộng bao nhiêu điểm ở đâu,training_score
Hoi chut la toi duoc cong bao nhieu diem o dau,training_score
Tôi muốn hỏi nếu không check in thì bị gì với,absent_penalty
Toi muon hoi neu khong check in thi bi gi voi,absent_penalty
Mình cần biết quy trình điểm danh hoạt động ở đâu,check_in_guide
Minh can biet quy trinh diem danh hoat dong o dau,check_in_guide
Tôi muốn hỏi tôi có đạt loại tốt không,training_score
Toi muon hoi toi co dat loai tot khong,training_score
Làm sao đến sân trường,map_help
Lam sao den san truong,map_help
Có thể cho tôi biết bitcoin hôm nay giá bao nhiêu trên ITConnect,unknown
Co the cho toi biet bitcoin hom nay gia bao nhieu tren ITConnect,unknown
Mình muốn biết có hoạt động nào sắp tới không được không ạ,upcoming_activity
Minh muon biet co hoat dong nao sap toi khong duoc khong a,upcoming_activity
Bạn cho tôi biết tôi đã gửi minh chứng chưa cho tôi bạn,attendance_status
Ban cho toi biet toi da gui minh chung chua cho toi ban,attendance_status
Cho tôi hỏi tôi cần gửi hỗ trợ trong hệ thống,feedback_help
Cho toi hoi toi can gui ho tro trong he thong,feedback_help
Làm ơn cho tôi biết minh chứng bị từ chối thì bị sao cho tôi ạ,absent_penalty
Lam on cho toi biet minh chung bi tu choi thi bi sao cho toi a,absent_penalty
Cho mình hỏi kể chuyện vui đi trên ITConnect,unknown
Cho minh hoi ke chuyen vui di tren ITConnect,unknown
Làm sao bật camera điểm danh giúp tôi,check_in_guide
Lam sao bat camera diem danh giup toi,check_in_guide
Tôi muốn hỏi tôi đã đăng ký hoạt động nào như thế nào,my_activities
Toi muon hoi toi da dang ky hoat dong nao nhu the nao,my_activities
Cho mình hỏi tìm sân trường trên bản đồ cho tôi,map_help
Cho minh hoi tim san truong tren ban do cho toi,map_help
Giúp tôi xem chatbot ơi trên ITConnect,greeting
